"id","field_id/id","code","name"
"l10n_no_hr_payroll.res_field_selection_RegelType_loennsinntekt","l10n_no_hr_payroll.res_field_l10n_no_RegelType","loennsinntekt","Lønnsinntekt"
"l10n_no_hr_payroll.res_field_selection_RegelType_ytelseFraOffentlige","l10n_no_hr_payroll.res_field_l10n_no_RegelType","ytelseFraOffentlige","Ytelser fra det offentlige"
"l10n_no_hr_payroll.res_field_selection_RegelType_pensjonEllerTrygd","l10n_no_hr_payroll.res_field_l10n_no_RegelType","pensjonEllerTrygd","Pensjon eller trygd"
"l10n_no_hr_payroll.res_field_selection_RegelType_naeringsinntekt","l10n_no_hr_payroll.res_field_l10n_no_RegelType","naeringsinntekt","Naeringsinntekt"
"l10n_no_hr_payroll.res_field_selection_RegelType_fradrag","l10n_no_hr_payroll.res_field_l10n_no_RegelType","fradrag","Fradrag"
"l10n_no_hr_payroll.res_field_selection_RegelType_forskuddstrekk","l10n_no_hr_payroll.res_field_l10n_no_RegelType","forskuddstrekk","Forskuddstrekk"
"l10n_no_hr_payroll.res_field_selection_AarsakTilSluttdato_arbeidsforholdetSkulleAldriVaertRapportert","l10n_no_hr_payroll.res_field_l10n_no_AarsakTilSluttdato","arbeidsforholdetSkulleAldriVaertRapportert","Arbeidsforholdet skulle aldri vært rapportert"
"l10n_no_hr_payroll.res_field_selection_AarsakTilSluttdato_arbeidsgiverHarSagtOppArbeidstaker","l10n_no_hr_payroll.res_field_l10n_no_AarsakTilSluttdato","arbeidsgiverHarSagtOppArbeidstaker","Arbeidsgiver har sagt opp arbeidstaker"
"l10n_no_hr_payroll.res_field_selection_AarsakTilSluttdato_arbeidstakerHarSagtOppSelv","l10n_no_hr_payroll.res_field_l10n_no_AarsakTilSluttdato","arbeidstakerHarSagtOppSelv","Arbeidstaker har sagt opp selv"
"l10n_no_hr_payroll.res_field_selection_AarsakTilSluttdato_byttetLoenssystemEllerRegnskapsfoerer","l10n_no_hr_payroll.res_field_l10n_no_AarsakTilSluttdato","byttetLoenssystemEllerRegnskapsfoerer","Byttet lønnssystem eller regnskapsfører"
"l10n_no_hr_payroll.res_field_selection_AarsakTilSluttdato_endringIOrganisasjonsstrukturEllerByttetJobbInternt","l10n_no_hr_payroll.res_field_l10n_no_AarsakTilSluttdato","endringIOrganisasjonsstrukturEllerByttetJobbInternt","Endring i organisasjonsstruktur eller byttet jobb internt"
"l10n_no_hr_payroll.res_field_selection_AarsakTilSluttdato_kontraktEngasjementEllerVikariatErUtloept","l10n_no_hr_payroll.res_field_l10n_no_AarsakTilSluttdato","kontraktEngasjementEllerVikariatErUtloept","Kontrakt, engasjement eller vikariat er utløpt"
"l10n_no_hr_payroll.res_field_selection_FormForAnsettelse_fast","l10n_no_hr_payroll.res_field_l10n_no_FormForAnsettelse","fast","Fast ansettelse"
"l10n_no_hr_payroll.res_field_selection_FormForAnsettelse_midlertidig","l10n_no_hr_payroll.res_field_l10n_no_FormForAnsettelse","midlertidig","Midlertidig ansettelse"
